Date : 2021-11-18 13:52:27
Directory : d:\workspace\economy34-vitesse
Total : 100 files,  169422 codes, 61 comments, 1494 blanks, all 170977 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\workspace\economy34-vitesse\src\components\basic\ProgressBar.vue           | vue        |         22 |          0 |          5 |         27 |
| d:\workspace\economy34-vitesse\src\components\basic\Select.vue                | vue        |         61 |          0 |          4 |         65 |
| d:\workspace\economy34-vitesse\src\components\basic\SortButton.vue            | vue        |          0 |          0 |          1 |          1 |
| d:\workspace\economy34-vitesse\src\components\basic\Table.vue                 | vue        |         37 |          0 |          3 |         40 |
| d:\workspace\economy34-vitesse\src\components\basic\TextArea.vue              | vue        |         45 |          0 |          4 |         49 |
| d:\workspace\economy34-vitesse\src\components\basic\Valid.vue                 | vue        |         12 |          0 |          2 |         14 |
| d:\workspace\economy34-vitesse\src\components\big\Footer.vue                  | vue        |        219 |          0 |         27 |        246 |
| d:\workspace\economy34-vitesse\src\components\big\Header.vue                  | vue        |         24 |          0 |          7 |         31 |
| d:\workspace\economy34-vitesse\src\components\big\Navigation.vue              | vue        |         77 |          0 |         10 |         87 |
| d:\workspace\economy34-vitesse\src\components\big\SideApps.vue                | vue        |         60 |          0 |          8 |         68 |
| d:\workspace\economy34-vitesse\src\components\big\SideMenu.vue                | vue        |         79 |          0 |          6 |         85 |
| d:\workspace\economy34-vitesse\src\components\big\footer\Apps.vue             | vue        |         44 |          0 |          7 |         51 |
| d:\workspace\economy34-vitesse\src\components\big\footer\Build.vue            | vue        |        207 |          1 |          8 |        216 |
| d:\workspace\economy34-vitesse\src\components\big\footer\Manual.vue           | vue        |         24 |          0 |          4 |         28 |
| d:\workspace\economy34-vitesse\src\components\big\footer\Spendings.vue        | vue        |         63 |          0 |          4 |         67 |
| d:\workspace\economy34-vitesse\src\components\big\footer\apps\CashRules.vue   | vue        |          7 |          0 |          2 |          9 |
| d:\workspace\economy34-vitesse\src\components\big\footer\apps\DiceMachine.vue | vue        |         53 |          0 |          8 |         61 |
| d:\workspace\economy34-vitesse\src\components\big\footer\apps\ExitStage.vue   | vue        |         69 |          0 |         10 |         79 |
| d:\workspace\economy34-vitesse\src\components\big\footer\apps\Missions.vue    | vue        |          7 |          0 |          2 |          9 |
| d:\workspace\economy34-vitesse\src\components\big\footer\apps\RandomBuild.vue | vue        |         34 |          0 |          9 |         43 |
| d:\workspace\economy34-vitesse\src\components\big\footer\apps\RandomChar.vue  | vue        |         28 |          0 |          7 |         35 |
| d:\workspace\economy34-vitesse\src\components\big\footer\apps\RandomWorld.vue | vue        |         31 |          0 |          7 |         38 |
| d:\workspace\economy34-vitesse\src\components\modals\AddCharacter.vue         | vue        |        108 |          0 |         16 |        124 |
| d:\workspace\economy34-vitesse\src\components\modals\AddRide.vue              | vue        |        170 |          8 |         17 |        195 |
| d:\workspace\economy34-vitesse\src\components\modals\AddWorld.vue             | vue        |        140 |          0 |         12 |        152 |
| d:\workspace\economy34-vitesse\src\components\modals\RitualCircle.vue         | vue        |        111 |          0 |         12 |        123 |
| d:\workspace\economy34-vitesse\src\components\modals\SaveLoad.vue             | vue        |        112 |          0 |         11 |        123 |
| d:\workspace\economy34-vitesse\src\components\modals\Share.vue                | vue        |         65 |          0 |          8 |         73 |
| d:\workspace\economy34-vitesse\src\components\modals\ShareLoad.vue            | vue        |         59 |          0 |          7 |         66 |
| d:\workspace\economy34-vitesse\src\components\modals\SlightlyUsed.vue         | vue        |         99 |          0 |          8 |        107 |
| d:\workspace\economy34-vitesse\src\components\small\AnythingInput.vue         | vue        |        107 |          0 |         14 |        121 |
| d:\workspace\economy34-vitesse\src\components\small\CharacterInput.vue        | vue        |         77 |          0 |         11 |         88 |
| d:\workspace\economy34-vitesse\src\components\small\Desc.vue                  | vue        |         36 |          0 |          8 |         44 |
| d:\workspace\economy34-vitesse\src\components\small\ModeButton.vue            | vue        |         28 |          0 |          5 |         33 |
| d:\workspace\economy34-vitesse\src\data\binding.ts                            | TypeScript |        717 |          5 |         63 |        785 |
| d:\workspace\economy34-vitesse\src\data\characters.json                       | JSON       |    147,846 |          0 |          2 |    147,848 |
| d:\workspace\economy34-vitesse\src\data\characters3.json                      | JSON       |          3 |          0 |          0 |          3 |
| d:\workspace\economy34-vitesse\src\data\constatnts.ts                         | TypeScript |        127 |          0 |         13 |        140 |
| d:\workspace\economy34-vitesse\src\data\heritage.ts                           | TypeScript |        591 |          1 |         36 |        628 |
| d:\workspace\economy34-vitesse\src\data\intensity.ts                          | TypeScript |        152 |          0 |          3 |        155 |
| d:\workspace\economy34-vitesse\src\data\origin.ts                             | TypeScript |        115 |          0 |          8 |        123 |
| d:\workspace\economy34-vitesse\src\data\rules.ts                              | TypeScript |        202 |          0 |         27 |        229 |
| d:\workspace\economy34-vitesse\src\data\talents.ts                            | TypeScript |        962 |         22 |        137 |      1,121 |
| d:\workspace\economy34-vitesse\src\data\userCharacters.json                   | JSON       |        255 |          0 |          1 |        256 |
| d:\workspace\economy34-vitesse\src\data\userWorlds.json                       | JSON       |        311 |          0 |          0 |        311 |
| d:\workspace\economy34-vitesse\src\data\waifu_perks.ts                        | TypeScript |      1,099 |          0 |          5 |      1,104 |
| d:\workspace\economy34-vitesse\src\data\worlds.json                           | JSON       |      1,472 |          0 |          0 |      1,472 |
| d:\workspace\economy34-vitesse\src\logic\index.ts                             | TypeScript |         53 |          0 |          9 |         62 |
| d:\workspace\economy34-vitesse\src\logic\misc.ts                              | TypeScript |         94 |          1 |          7 |        102 |
| d:\workspace\economy34-vitesse\src\logic\toggles.ts                           | TypeScript |         21 |          0 |          4 |         25 |
| d:\workspace\economy34-vitesse\src\main.ts                                    | TypeScript |         31 |          3 |          4 |         38 |
| d:\workspace\economy34-vitesse\src\pages\README.md                            | Markdown   |         13 |          0 |          8 |         21 |
| d:\workspace\economy34-vitesse\src\pages\[...all].vue                         | vue        |          5 |          0 |          1 |          6 |
| d:\workspace\economy34-vitesse\src\pages\about.vue                            | vue        |         41 |          0 |          1 |         42 |
| d:\workspace\economy34-vitesse\src\pages\binding\index.vue                    | vue        |        298 |          0 |         28 |        326 |
| d:\workspace\economy34-vitesse\src\pages\changelog.vue                        | vue        |        122 |          0 |          3 |        125 |
| d:\workspace\economy34-vitesse\src\pages\companions\index.vue                 | vue        |        226 |          0 |         23 |        249 |
| d:\workspace\economy34-vitesse\src\pages\credits.vue                          | vue        |         39 |          0 |          4 |         43 |
| d:\workspace\economy34-vitesse\src\pages\everything.vue                       | vue        |        104 |          0 |         20 |        124 |
| d:\workspace\economy34-vitesse\src\pages\help.vue                             | vue        |         45 |          0 |          2 |         47 |
| d:\workspace\economy34-vitesse\src\pages\heritage\index.vue                   | vue        |        152 |          0 |         14 |        166 |
| d:\workspace\economy34-vitesse\src\pages\index.vue                            | vue        |        132 |          0 |         10 |        142 |
| d:\workspace\economy34-vitesse\src\pages\intensity\index.vue                  | vue        |         91 |          0 |          9 |        100 |
| d:\workspace\economy34-vitesse\src\pages\origin\index.vue                     | vue        |        106 |          0 |         10 |        116 |
| d:\workspace\economy34-vitesse\src\pages\talents.vue                          | vue        |         20 |          0 |          3 |         23 |
| d:\workspace\economy34-vitesse\src\pages\talents\defense.vue                  | vue        |         67 |          0 |          8 |         75 |
| d:\workspace\economy34-vitesse\src\pages\talents\home.vue                     | vue        |         68 |          0 |          8 |         76 |
| d:\workspace\economy34-vitesse\src\pages\talents\perks.vue                    | vue        |         53 |          0 |          9 |         62 |
| d:\workspace\economy34-vitesse\src\pages\talents\ride.vue                     | vue        |        177 |          0 |         14 |        191 |
| d:\workspace\economy34-vitesse\src\pages\talents\specific.vue                 | vue        |        154 |          0 |         17 |        171 |
| d:\workspace\economy34-vitesse\src\pages\talents\talent.vue                   | vue        |         66 |          7 |         11 |         84 |
| d:\workspace\economy34-vitesse\src\pages\world\index.vue                      | vue        |        127 |          0 |         15 |        142 |
| d:\workspace\economy34-vitesse\src\store\play.ts                              | TypeScript |         10 |          0 |          4 |         14 |
| d:\workspace\economy34-vitesse\src\store\saves.ts                             | TypeScript |         14 |          0 |          3 |         17 |
| d:\workspace\economy34-vitesse\src\store\store.ts                             | TypeScript |        243 |          0 |         45 |        288 |
| d:\workspace\economy34-vitesse\src\styles\main.css                            | PostCSS    |        233 |          0 |         40 |        273 |
| d:\workspace\economy34-vitesse\tsconfig.json                                  | JSON       |         21 |          5 |          0 |         26 |
| d:\workspace\economy34-vitesse\vite.config.ts                                 | TypeScript |         66 |          7 |         12 |         85 |
| d:\workspace\economy34-vitesse\windi.config.ts                                | TypeScript |         30 |          1 |          3 |         34 |
| Total                                                                         |            |    169,422 |         61 |      1,494 |    170,977 |
+-------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
